District,Code,Estimate,Prevalence_%,Prevalence_LCL,Prevalence_UCL,NoPLHIV,NoPLHIV_LCL,NoPLHIV_UCL,NoPL,NoPNLHIV
Buffalo City,BUF,Survey,13.6,10.268,16.932,102437,77340,127534,753213.2352941177,650776.2352941178
Buffalo City,BUF,Fay-Heriott,13.5012833474529,11.0316051079533,16.4218024844172,101693,83092,123691,753209.8792607372,651516.8792607372
City of Cape Town,CPT,Survey,5.2,3.044,7.356,200751,117517,283985,3860596.1538461535,3659845.1538461535
City of Cape Town,CPT,Fay-Heriott,6.02004262302452,4.3350717593392,8.30309104772893,232409,167359,320548,3860587.2840686925,3628178.2840686925
West Coast,DC1,Survey,2.7,0.0,5.444,11302,0,22789,418592.5925925926,407290.5925925925
West Coast,DC1,Fay-Heriott,4.08831920146981,2.41435107513774,6.84154810504293,17114,10107,28639,418607.23580113973,401493.2358011397
Cacadu,DC10,Survey,7.6,3.484,11.716,34732,15922,53542,457000.0,422268.0
Cacadu,DC10,Fay-Heriott,8.91238693466066,6.14501036594423,12.7566464872749,40729,28083,58298,456993.17476447474,416264.1747644747
Amatole,DC12,Survey,11.0,7.276,14.724,98884,65407,132361,898945.4545454546,800061.4545454546
Amatole,DC12,Fay-Heriott,11.8786082760189,9.09070234506566,15.3768829762839,106783,81721,138230,898952.1122232695,792169.1122232697
Chris Hani,DC13,Survey,14.3,10.184,18.416,114849,81792,147906,803139.8601398601,688290.8601398601
Chris Hani,DC13,Fay-Heriott,14.0809825585279,11.1812197776954,17.5838930651633,113090,89801,141224,803139.976418116,690049.9764181161
Joe Gqabi,DC14,Survey,10.7,7.956,13.444,37766,28081,47451,352953.2710280374,315187.2710280374
Joe Gqabi,DC14,Fay-Heriott,11.5078036929463,9.29176585739253,14.169794412495,40618,32796,50013,352960.4873682089,312342.4873682089
O.R. Tambo,DC15,Survey,11.8,8.468,15.132,160352,115073,205631,1358915.2542372881,1198563.2542372881
O.R. Tambo,DC15,Fay-Heriott,12.3173162451053,9.77198761315295,15.4123828818058,167382,132793,209441,1358916.1524249641,1191534.1524249641
Xhariep,DC16,Survey,8.3,6.144,10.456,11777,8718,14836,141891.56626506022,130114.56626506023
Xhariep,DC16,Fay-Heriott,8.96306957661912,7.18782344810121,11.1242139949276,12718,10199,15784,141893.35351335345,129175.35351335345
Lejweleputswa,DC18,Survey,20.3,13.44,27.16,123868,82009,165727,610187.1921182266,486319.1921182266
Lejweleputswa,DC18,Fay-Heriott,17.6282862586433,13.6770487944595,22.4244873295032,107566,83456,136832,610189.773536605,502623.77353660495
Thabo Mofutsanyana,DC19,Survey,15.9,12.96,18.84,115006,93741,136271,723308.1761006289,608302.1761006289
Thabo Mofutsanyana,DC19,Fay-Heriott,15.6847270764598,13.4552308414202,18.2059318191618,113449,97323,131685,723308.7285928507,609859.7285928507
Cape Winelands,DC2,Survey,3.8,0.468,7.132,30706,3782,57630,808052.6315789474,777346.6315789474
Cape Winelands,DC2,Fay-Heriott,5.52605603678174,3.41758807452157,8.81658986213855,44653,27616,71242,808044.647082605,763391.647082605
Fezile Dabi,DC20,Survey,9.0,6.256,11.744,45550,31662,59438,506111.1111111111,460561.1111111111
Fezile Dabi,DC20,Fay-Heriott,10.0307542194848,7.81130851367183,12.7933037771163,50767,39534,64748,506113.48747220624,455346.4874722062
Ugu,DC21,Survey,19.5,17.736,21.264,142979,130045,155913,733225.641025641,590246.641025641
Ugu,DC21,Fay-Heriott,19.4092059428053,18.0208310630853,20.87730492287,142314,132134,153078,733229.3779527526,590915.3779527526
uMgungundlovu,DC22,Survey,21.0,15.512,26.488,221073,163299,278847,1052728.5714285714,831655.5714285714
uMgungundlovu,DC22,Fay-Heriott,19.939214612367,16.2938821777254,24.1646592177544,209906,171531,254389,1052729.5286235043,842823.5286235043
